	23	23.25	23.5	23.75	24	24.25	24.5	24.75	25	25.25	25.5	25.75	26	26.25	26.5	26.75	27	27.25	27.5	27.75	28	28.25	28.5	28.75	29	29.25	29.5	29.75	30	30.25	30.5	30.75	31	31.25	31.5	31.75	32	32.25	32.5	32.75	33	33.25	33.5	33.75	34	34.25	34.5	34.75	35	35.25	35.5	35.75	36	36.25	36.5	36.75	37	37.25	37.5	37.75	38
4.25	1.71E-07	4.95E-08	9.73E-08	6.74E-08	7.52E-08	6.11E-08	7.45E-08	6.55E-08	9.91E-08	6.75E-08	8.61E-08	8.84E-08	7.76E-08	1.60E-07	1.02E-07	6.64E-08	8.55E-08	6.76E-07	NaN	NaN	NaN	NaN	2.01E-07	4.80E-08	5.83E-08	1.22E-07	1.07E-07	5.15E-08	3.43E-08	2.64E-08	4.03E-08	2.57E-08	4.38E-08	1.63E-08	1.43E-08	3.58E-08	1.52E-08	1.74E-08	1.82E-07	2.38E-08	9.88E-08	1.03E-08	5.87E-08	1.48E-08	3.67E-08	3.99E-08	2.87E-08	6.33E-08	2.90E-08	6.35E-08	2.01E-08	5.86E-08	3.97E-08	9.33E-08	4.14E-08	5.74E-08	4.33E-08	4.23E-08	7.68E-08	3.29E-08	8.48E-08
4.5	3.40E-08	2.30E-08	4.30E-08	6.69E-08	6.78E-08	3.58E-08	5.51E-08	2.94E-08	4.93E-08	4.04E-08	2.48E-08	4.49E-08	1.41E-07	2.95E-08	1.36E-07	4.17E-08	2.24E-07	NaN	NaN	NaN	NaN	2.60E-08	1.35E-07	2.57E-08	3.41E-08	5.02E-08	5.92E-08	6.32E-08	4.65E-08	2.51E-07	4.77E-08	3.58E-08	2.17E-08	7.77E-08	2.82E-08	2.12E-08	1.64E-08	9.89E-09	1.69E-08	9.87E-09	1.43E-08	1.65E-08	9.68E-08	1.95E-08	8.43E-08	4.86E-07	1.44E-07	4.94E-08	8.23E-08	1.18E-07	5.78E-08	1.13E-07	7.70E-08	1.38E-07	4.43E-08	1.49E-07	7.16E-08	1.12E-07	5.76E-08	7.55E-08	7.13E-08
4.75	7.95E-08	5.94E-08	NaN	1.63E-07	NaN	1.82E-07	8.27E-08	4.02E-08	3.76E-08	5.77E-08	7.79E-08	8.58E-07	1.15E-07	6.84E-08	NaN	NaN	NaN	NaN	NaN	NaN	9.80E-08	5.99E-08	1.42E-08	3.91E-08	5.38E-08	4.70E-08	4.08E-08	1.09E-07	4.57E-08	4.94E-08	5.65E-08	5.50E-08	1.08E-07	2.19E-08	1.19E-07	1.41E-08	2.67E-08	2.39E-08	3.07E-08	2.98E-08	1.71E-08	NaN	NaN	NaN	1.99E-07	NaN	NaN	5.38E-08	5.63E-07	3.59E-07	2.69E-08	2.10E-08	2.07E-07	5.07E-08	6.78E-08	1.92E-08	7.43E-08	1.98E-08	5.99E-08	1.97E-08	1.73E-08
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.35E-07	3.01E-07	2.79E-07	1.21E-07	1.09E-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.45E-07	1.51E-07	1.27E-07	5.69E-07	7.18E-08	5.48E-08	4.25E-08	1.79E-07	4.53E-08	4.62E-07	3.56E-08	2.68E-07	2.42E-08	2.53E-08	2.12E-08	1.30E-08	1.87E-08	NaN	NaN	6.76E-08	NaN	NaN	NaN	NaN	NaN	NaN	5.69E-08	4.28E-08	1.11E-07	1.47E-08	2.82E-08	3.66E-08	6.63E-08	1.83E-08	2.81E-08	9.74E-08
5.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.13E-07	2.42E-07	9.30E-07	8.92E-07	4.64E-08	NaN	4.94E-08	4.53E-08	7.59E-07	1.11E-07	9.16E-07	1.32E-07	6.96E-08	2.67E-08	1.52E-08	9.17E-08	5.82E-08	NaN	NaN	NaN	NaN	NaN	NaN	1.16E-07	2.10E-07	2.26E-08	3.26E-08	5.32E-08	3.25E-07	5.61E-08	7.28E-08	2.59E-08	2.13E-08
5.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.21E-07	NaN	NaN	9.71E-08	6.71E-08	6.29E-08	2.81E-08	1.90E-08	6.95E-08	2.07E-07	1.16E-07	NaN	NaN	4.10E-07	NaN	NaN	3.46E-08	5.26E-08	6.14E-08	2.24E-07	9.99E-08	6.14E-08	8.10E-08	2.33E-07	6.41E-08
5.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.09E-08	3.02E-08	9.21E-08	5.05E-08	NaN	4.89E-08	5.52E-07	6.19E-08	2.44E-07	9.12E-08	7.63E-08	6.61E-08	1.45E-07	1.32E-07	7.54E-08	7.59E-08	3.87E-08
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.18E-07	5.61E-08	NaN	4.71E-08	3.53E-08	4.87E-07	NaN	NaN	NaN	2.09E-07	3.85E-07	8.63E-08	3.81E-07	1.20E-07	3.72E-08	1.08E-07
6.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.16E-07	2.61E-07	NaN
6.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
