40 1.6607 1.28868149672446
40.01 5.0116 2.23866031366976
40.02 2.4363 1.56086514471943
40.03 4.639 2.15383379117331
40.04 3.1514 1.77521829643568
40.05 11.2207 3.34973133251012
40.06 5.1139 2.26139337577521
40.07 7.902 2.81104962602939
40.08 5.6279 2.37231954002828
40.09 4.7386 2.17683256131472
40.1 4.0195 2.00486907303195
40.11 4.2326 2.05732836465159
40.12 10.099 3.17789238332578
40.13 5.458 2.33623628941937
40.14 2.4362 1.56083311087381
40.15 7.2126 2.68562841808021
40.16 9.158 3.02621876274667
40.17 6.2404 2.49807926215322
40.18 6.9912 2.64408774438368
40.19 3.3628 1.83379388154721
40.2 4.3326 2.0814898510442
40.21 5.0225 2.2410934831015
40.22 4.6997 2.16787914792315
40.23 7.4857 2.73600073099405
40.24 5.2201 2.28475381605984
40.25 6.8308 2.61357992033915
40.26 7.4069 2.72156205146971
40.27 6.3463 2.51918637659066
40.28 6.5127 2.55199921630082
40.29 0.2904 0.538887743412299
40.3 3.2668 1.80742911340943
40.31 5.4038 2.32460749375029
40.32 7.7886 2.79080633509386
40.33 5.8785 2.42456181608141
40.34 7.9906 2.82676493539877
40.35 5.9466 2.43856515188748
40.36 9.6687 3.10945332815915
40.37 5.4816 2.3412817002659
40.38 6.315 2.51296637462581
40.39 7.8721 2.80572628743432
40.4 4.1596 2.03950974501227
40.41 9.1579 3.02620224043272
40.42 7.5215 2.74253532338236
40.43 4.5851 2.14128466113219
40.44 5.424 2.32894826048154
40.45 7.8453 2.80094626867421
40.46 4.0559 2.01392651305851
40.47 11.1237 3.33522113209904
40.48 1.3449 1.15969823661158
40.49 10.945 3.30832283793465
40.5 1.6094 1.26862129889104
40.51 7.5312 2.74430319024703
40.52 7.616 2.75971012970565
40.53 7.8455 2.80098197066672
40.54 3.7401 1.93393381479305
40.55 7.2077 2.68471599987783
40.56 8.7479 2.95768490546238
40.57 6.8004 2.60775765745209
40.58 4.1553 2.0384552975231
40.59 7.3207 2.70567921232359
40.6 6.4561 2.54088567235915
40.61 7.1349 2.67112335918804
40.62 5.1018 2.25871644966782
40.63 4.0256 2.00638979263751
40.64 3.0531 1.74731222167076
40.65 3.9811 1.99526940536861
40.66 3.0623 1.74994285620988
40.67 4.9078 2.21535550194546
40.68 3.0796 1.75487891320171
40.69 8.3949 2.897395382063
40.7 8.5082 2.91688189682064
40.71 7.5785 2.75290755384194
40.72 3.2514 1.8031638860625
40.73 5.799 2.40811129310919
40.74 4.0322 2.00803386425628
40.75 4.9685 2.22901323459508
40.76 5.8222 2.41292353795142
40.77 6.5257 2.55454496926556
40.78 4.2887 2.0709176709855
40.79 5.0797 2.25381898119614
40.8 4.3777 2.09229539023533
40.81 9.8184 3.13343262254033
40.82 4.6606 2.1588422823356
40.83 4.1722 2.0425963869546
40.84 8.2992 2.88083321280493
40.85 5.3874 2.32107733606616
40.86 4.3732 2.09121973976911
40.87 7.5678 2.75096346758731
40.88 9.4887 3.08037335399461
40.89 3.6884 1.92052076270995
40.9 5.26 2.29346898823594
40.91 4.1005 2.02496913556726
40.92 6.0077 2.45106099475309
40.93 5.272 2.29608362217059
40.94 5.3042 2.30308488771039
40.95 9.3653 3.060277765171
40.96 6.9759 2.64119291230308
40.97 7.186 2.68067155765118
40.98 4.6376 2.15350876478365
40.99 3.4715 1.86319617861351
41 1.0999 1.04876117395716
41.01 4.3157 2.0774262923146
41.02 6.3584 2.52158680199592
41.03 5.0328 2.24339029150079
41.04 4.6047 2.14585647236715
41.05 3.4268 1.85116179735862
41.06 12.1906 3.49150397393444
41.07 4.6001 2.14478437144623
41.08 6.0963 2.46906865032141
41.09 3.6227 1.903339171036
41.1 5.0085 2.23796782818699
41.11 7.22 2.68700576850888
41.12 6.5091 2.55129378943312
41.13 6.2628 2.50255869062046
41.14 5.154 2.2702422778197
41.15 2.4424 1.5628179676469
41.16 4.0786 2.01955440629858
41.17 6.5526 2.55980468004885
41.18 5.7376 2.39532878745278
41.19 5.58 2.36220236220354
41.2 9.0503 3.0083716525722
41.21 4.4 2.0976176963403
41.22 7.1523 2.67437843245865
41.23 4.2084 2.05143851967345
41.24 5.1227 2.26333824250818
41.25 5.0281 2.24234252512858
41.26 3.5767 1.89121653969079
41.27 5.7425 2.39635139326435
41.28 4.5934 2.1432218737219
41.29 2.0793 1.44197780842841
41.3 4.9052 2.21476861093885
41.31 8.3591 2.89121081901684
41.32 3.1739 1.78154427393764
41.33 6.1995 2.48987951515731
41.34 1.8354 1.35476935306347
41.35 8.2323 2.86919849435343
41.36 4.3184 2.07807603325769
41.37 6.8638 2.61988549368097
41.38 9.1685 3.02795310399616
41.39 9.332 3.0548322376196
41.4 7.5398 2.74586962545566
41.41 7.6227 2.76092375845477
41.42 5.8319 2.41493271127789
41.43 3.2568 1.80466063291689
41.44 4.1409 2.03492014585339
41.45 10.1013 3.17825423778527
41.46 6.4842 2.54640923655252
41.47 5.7224 2.39215384120671
41.48 5.8977 2.42851806664064
41.49 6.1565 2.48122953392063
41.5 6.9295 2.63239434735755
41.51 3.3334 1.82576011567785
41.52 4.3356 2.08221036401224
41.53 4.1393 2.03452697205026
41.54 7.3233 2.70615964052382
41.55 4.3946 2.09633012667375
41.56 6.2457 2.49913985202909
41.57 5.6551 2.37804541588255
41.58 7.2035 2.68393368025367
41.59 6.2543 2.50085985213086
41.6 4.0673 2.01675481900999
41.61 6.5675 2.5627134057479
41.62 6.414 2.53258760954088
41.63 4.3128 2.07672819598521
41.64 5.4227 2.32866914781813
41.65 5.197 2.27969296178235
