Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
8.950000E-9	-2.031901E-2
9.000000E-9	-2.064790E-2
9.050000E-9	-2.094938E-2
9.100000E-9	-2.129540E-2
9.150000E-9	-2.161400E-2
9.200000E-9	-2.189321E-2
9.250000E-9	-2.212446E-2
9.300000E-9	-2.228034E-2
9.350000E-9	-2.235571E-2
9.400000E-9	-2.241566E-2
9.450000E-9	-2.242937E-2
9.500000E-9	-2.234715E-2
9.550000E-9	-2.219641E-2
9.600000E-9	-2.196173E-2
9.650000E-9	-2.164998E-2
9.700000E-9	-2.126456E-2
9.750000E-9	-2.080892E-2
9.800000E-9	-2.027619E-2
9.850000E-9	-1.971606E-2
9.900000E-9	-1.912509E-2
9.950000E-9	-1.855981E-2
1.000000E-8	-1.800996E-2
1.005000E-8	-1.749436E-2
1.010000E-8	-1.704557E-2
1.015000E-8	-1.662761E-2
1.020000E-8	-1.626446E-2
1.025000E-8	-1.599210E-2
1.030000E-8	-1.580025E-2
1.035000E-8	-1.569747E-2
1.040000E-8	-1.567863E-2
1.045000E-8	-1.573516E-2
1.050000E-8	-1.579683E-2
1.055000E-8	-1.592872E-2
1.060000E-8	-1.608289E-2
1.065000E-8	-1.625076E-2
1.070000E-8	-1.645631E-2
1.075000E-8	-1.667386E-2
1.080000E-8	-1.692223E-2
1.085000E-8	-1.719631E-2
1.090000E-8	-1.750635E-2
1.095000E-8	-1.784209E-2
1.100000E-8	-1.818810E-2
1.105000E-8	-1.857352E-2
1.110000E-8	-1.902574E-2
1.115000E-8	-1.945055E-2
1.120000E-8	-1.989249E-2
1.125000E-8	-2.036526E-2
1.130000E-8	-2.080207E-2
1.135000E-8	-2.119091E-2
1.140000E-8	-2.153350E-2
1.145000E-8	-2.178359E-2
1.150000E-8	-2.197372E-2
1.155000E-8	-2.212446E-2
1.160000E-8	-2.219812E-2
1.165000E-8	-2.217585E-2
1.170000E-8	-2.206794E-2
1.175000E-8	-2.192405E-2
1.180000E-8	-2.170479E-2
1.185000E-8	-2.139303E-2
1.190000E-8	-2.100591E-2
1.195000E-8	-2.059137E-2
1.200000E-8	-2.015800E-2
1.205000E-8	-1.969207E-2
1.210000E-8	-1.923300E-2
1.215000E-8	-1.878421E-2
1.220000E-8	-1.831829E-2
1.225000E-8	-1.791574E-2
1.230000E-8	-1.755089E-2
1.235000E-8	-1.725283E-2
1.240000E-8	-1.701473E-2
1.245000E-8	-1.681260E-2
1.250000E-8	-1.667899E-2
1.255000E-8	-1.657793E-2
1.260000E-8	-1.657450E-2
1.265000E-8	-1.660191E-2
1.270000E-8	-1.663103E-2
1.275000E-8	-1.673210E-2
1.280000E-8	-1.681774E-2
1.285000E-8	-1.694793E-2
1.290000E-8	-1.711922E-2
1.295000E-8	-1.734533E-2
1.300000E-8	-1.761255E-2
1.305000E-8	-1.792088E-2
1.310000E-8	-1.822921E-2
1.315000E-8	-1.856153E-2
1.320000E-8	-1.890240E-2
1.325000E-8	-1.927583E-2
1.330000E-8	-1.961328E-2
1.335000E-8	-1.992675E-2
1.340000E-8	-2.020253E-2
1.345000E-8	-2.047147E-2
1.350000E-8	-2.072156E-2
