Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
0.000000E+0	1.695821E-4
5.000000E-11	1.627303E-4
1.000000E-10	1.541655E-4
1.500000E-10	1.421749E-4
2.000000E-10	1.353231E-4
2.500000E-10	1.113418E-4
3.000000E-10	9.763815E-5
3.500000E-10	5.995325E-5
4.000000E-10	4.111080E-5
4.500000E-10	1.541655E-5
5.000000E-10	-8.564750E-6
5.500000E-10	1.712950E-5
6.000000E-10	2.912015E-5
6.500000E-10	5.652735E-5
7.000000E-10	3.083310E-5
7.500000E-10	-3.254605E-5
8.000000E-10	-7.708275E-5
8.500000E-10	-8.050865E-5
9.000000E-10	-9.421225E-5
9.500000E-10	-3.939785E-5
1.000000E-9	5.138850E-5
1.050000E-9	1.575914E-4
1.100000E-9	2.929145E-4
1.150000E-9	4.727742E-4
1.200000E-9	5.909678E-4
1.250000E-9	7.280038E-4
1.300000E-9	8.342067E-4
1.350000E-9	9.044376E-4
1.400000E-9	9.130024E-4
1.450000E-9	8.530491E-4
1.500000E-9	7.194390E-4
1.550000E-9	5.412922E-4
1.600000E-9	3.237476E-4
1.650000E-9	1.233324E-4
1.700000E-9	-3.768490E-5
1.750000E-9	-1.678691E-4
1.800000E-9	-2.175447E-4
1.850000E-9	-2.089799E-4
1.900000E-9	-1.301842E-4
1.950000E-9	-4.967555E-5
2.000000E-9	9.935110E-5
2.050000E-9	2.295353E-4
2.100000E-9	3.580066E-4
2.150000E-9	4.864778E-4
2.200000E-9	5.669865E-4
2.250000E-9	6.577728E-4
2.300000E-9	7.040225E-4
2.350000E-9	7.348556E-4
2.400000E-9	7.742534E-4
2.450000E-9	7.896700E-4
2.500000E-9	8.170772E-4
2.550000E-9	8.581880E-4
2.600000E-9	9.249930E-4
2.650000E-9	9.883722E-4
2.700000E-9	1.038048E-3
2.750000E-9	1.091149E-3
2.800000E-9	1.086010E-3
2.850000E-9	1.092862E-3
2.900000E-9	1.077446E-3
2.950000E-9	1.041474E-3
3.000000E-9	9.404096E-4
3.050000E-9	8.410585E-4
3.100000E-9	7.040225E-4
3.150000E-9	5.344404E-4
3.200000E-9	3.443030E-4
3.250000E-9	2.363871E-4
3.300000E-9	8.564750E-5
3.350000E-9	-6.337915E-5
3.400000E-9	-1.678691E-4
3.450000E-9	-2.672202E-4
3.500000E-9	-3.477289E-4
3.550000E-9	-4.556447E-4
3.600000E-9	-5.001814E-4
3.650000E-9	-5.738383E-4
3.700000E-9	-5.995325E-4
3.750000E-9	-6.063843E-4
3.800000E-9	-5.669865E-4
3.850000E-9	-4.881908E-4
3.900000E-9	-3.802749E-4
3.950000E-9	-2.774979E-4
4.000000E-9	-1.593044E-4
4.050000E-9	-5.310145E-5
4.100000E-9	5.310145E-5
4.150000E-9	1.387490E-4
4.200000E-9	1.575914E-4
4.250000E-9	1.130547E-4
4.300000E-9	-8.564750E-6
4.350000E-9	-1.199065E-4
4.400000E-9	-3.151828E-4
4.450000E-9	-5.430052E-4
4.500000E-9	-7.759664E-4
4.550000E-9	-9.232801E-4
4.600000E-9	-1.118556E-3
4.650000E-9	-1.284713E-3
