====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1900 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.442E22 atoms/cm3 = 7.806 g/cm3
  Layer # 1- Fe = 88.8 Atomic Percent = 89.1 Mass Percent
  Layer # 1- Cr = 9.64 Atomic Percent = 9.00 Mass Percent
  Layer # 1-  C = .510 Atomic Percent = .110 Mass Percent
  Layer # 1- Mn = .410 Atomic Percent = .404 Mass Percent
  Layer # 1-  V = .220 Atomic Percent = .201 Mass Percent
  Layer # 1-  W = .330 Atomic Percent = 1.09 Mass Percent
  Layer # 1- Ta = .02  Atomic Percent = 6.49 Mass Percent
====================================================================
 Total Ions calculated =2738773.98
 Total Target Vacancies     = 13 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
250001.E-02  1235.15E-09  2745.62E-09  
500001.E-02  4167.27E-09  8606.15E-09  
750001.E-02  7828.90E-09  1630.00E-08  
100000.E-01  6849.20E-09  1508.25E-08  
125000.E-01  6182.77E-09  1328.44E-08  
150000.E-01  7430.19E-09  1556.88E-08  
175000.E-01  8040.97E-09  1655.07E-08  
200000.E-01  8210.97E-09  1679.89E-08  
225000.E-01  8220.61E-09  1718.07E-08  
250000.E-01  8352.79E-09  1697.79E-08  
275000.E-01  8422.02E-09  1675.68E-08  
300000.E-01  8552.00E-09  1763.29E-08  
325000.E-01  8625.17E-09  1801.71E-08  
350000.E-01  8591.29E-09  1834.26E-08  
375000.E-01  8849.51E-09  1855.12E-08  
400000.E-01  8954.37E-09  1785.87E-08  
425000.E-01  9042.00E-09  1919.22E-08  
450000.E-01  9154.02E-09  1853.59E-08  
475000.E-01  9320.96E-09  1871.16E-08  
500000.E-01  9313.80E-09  1962.87E-08  
525000.E-01  9532.29E-09  2042.06E-08  
550000.E-01  9624.01E-09  2058.48E-08  
575000.E-01  9829.07E-09  1921.50E-08  
600000.E-01  9920.35E-09  2062.08E-08  
625000.E-01  1005.53E-08  1996.18E-08  
650000.E-01  1018.70E-08  2155.43E-08  
675000.E-01  1027.63E-08  2160.82E-08  
700000.E-01  1054.82E-08  2127.57E-08  
725000.E-01  1072.66E-08  2159.99E-08  
750000.E-01  1087.76E-08  2294.52E-08  
775000.E-01  1103.22E-08  2180.26E-08  
800000.E-01  1125.15E-08  2256.55E-08  
825000.E-01  1147.73E-08  2256.76E-08  
850000.E-01  1163.75E-08  2310.56E-08  
875000.E-01  1181.59E-08  2372.85E-08  
900000.E-01  1213.58E-08  2361.88E-08  
925000.E-01  1235.44E-08  2491.32E-08  
950000.E-01  1264.45E-08  2445.56E-08  
975000.E-01  1285.63E-08  2458.53E-08  
100000.E+00  1320.44E-08  2547.76E-08  
102500.E+00  1348.73E-08  2581.58E-08  
105000.E+00  1384.28E-08  2687.09E-08  
107500.E+00  1417.15E-08  2672.18E-08  
110000.E+00  1449.96E-08  2923.92E-08  
112500.E+00  1495.08E-08  2881.78E-08  
115000.E+00  1535.46E-08  2919.26E-08  
117500.E+00  1574.78E-08  3030.43E-08  
120000.E+00  1630.38E-08  2991.66E-08  
122500.E+00  1695.12E-08  3136.46E-08  
125000.E+00  1749.26E-08  3246.89E-08  
127500.E+00  1807.17E-08  3402.28E-08  
130000.E+00  1887.38E-08  3447.85E-08  
132500.E+00  1961.45E-08  3653.97E-08  
135000.E+00  2047.82E-08  3769.48E-08  
137500.E+00  2150.01E-08  4017.75E-08  
140000.E+00  2275.85E-08  4058.91E-08  
142500.E+00  2398.24E-08  4255.10E-08  
145000.E+00  2539.34E-08  4463.37E-08  
147500.E+00  2735.71E-08  4654.50E-08  
150000.E+00  2947.00E-08  5050.13E-08  
152500.E+00  3222.48E-08  5512.64E-08  
155000.E+00  3555.27E-08  5790.01E-08  
157500.E+00  3996.17E-08  6349.76E-08  
160000.E+00  4620.65E-08  7080.91E-08  
162500.E+00  5561.28E-08  8109.70E-08  
165000.E+00  7224.97E-08  9572.39E-08  
167500.E+00  1075.53E-07  1220.64E-07  
170000.E+00  1803.23E-07  1592.61E-07  
172500.E+00  2897.57E-07  1947.23E-07  
175000.E+00  3637.48E-07  1925.32E-07  
177500.E+00  3156.97E-07  1377.59E-07  
