Study Name	Eurofer
Sample Name	HT_weld_2022-06-06
Run Name	200C_spot1
Operator	Ben
Date	6/6/2022
Time	10:26
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	10:26:41
	
Time	Amplitude
0.000000E+0	-3.528677E-4
5.000000E-11	-3.511548E-4
1.000000E-10	-3.802749E-4
1.500000E-10	-4.350893E-4
2.000000E-10	-5.121721E-4
2.500000E-10	-6.235138E-4
3.000000E-10	-7.262908E-4
3.500000E-10	-7.759664E-4
4.000000E-10	-7.639757E-4
4.500000E-10	-7.365685E-4
5.000000E-10	-6.749023E-4
5.500000E-10	-6.149491E-4
6.000000E-10	-5.258757E-4
6.500000E-10	-3.819879E-4
7.000000E-10	-2.689332E-4
7.500000E-10	-1.918504E-4
8.000000E-10	-5.824030E-5
8.500000E-10	6.851800E-6
9.000000E-10	6.680505E-5
9.500000E-10	1.113418E-4
1.000000E-9	1.798598E-4
1.050000E-9	2.449519E-4
1.100000E-9	3.117569E-4
1.150000E-9	4.008303E-4
1.200000E-9	5.070332E-4
1.250000E-9	5.961066E-4
1.300000E-9	6.200879E-4
1.350000E-9	5.806901E-4
1.400000E-9	5.053203E-4
1.450000E-9	4.265246E-4
1.500000E-9	3.117569E-4
1.550000E-9	1.747209E-4
1.600000E-9	7.023095E-5
1.650000E-9	-8.050865E-5
1.700000E-9	-2.449519E-4
1.750000E-9	-3.340253E-4
1.800000E-9	-4.042562E-4
1.850000E-9	-4.642095E-4
1.900000E-9	-4.659224E-4
1.950000E-9	-4.676354E-4
2.000000E-9	-4.025433E-4
2.050000E-9	-3.305994E-4
2.100000E-9	-2.261094E-4
2.150000E-9	-1.301842E-4
2.200000E-9	-2.226835E-5
2.250000E-9	6.166620E-5
2.300000E-9	1.147677E-4
2.350000E-9	2.209706E-4
2.400000E-9	2.757850E-4
2.450000E-9	3.066181E-4
2.500000E-9	3.545807E-4
2.550000E-9	3.614325E-4
2.600000E-9	3.425900E-4
2.650000E-9	2.929145E-4
2.700000E-9	2.243965E-4
2.750000E-9	1.438878E-4
2.800000E-9	7.023095E-5
2.850000E-9	-5.995325E-5
2.900000E-9	-1.678691E-4
2.950000E-9	-2.552296E-4
3.000000E-9	-3.580066E-4
3.050000E-9	-4.179598E-4
3.100000E-9	-4.522188E-4
3.150000E-9	-4.453670E-4
3.200000E-9	-4.128210E-4
3.250000E-9	-3.699972E-4
3.300000E-9	-3.100440E-4
3.350000E-9	-2.449519E-4
3.400000E-9	-2.089799E-4
3.450000E-9	-2.106929E-4
3.500000E-9	-2.192576E-4
3.550000E-9	-2.038411E-4
3.600000E-9	-2.466648E-4
3.650000E-9	-3.066181E-4
3.700000E-9	-3.443030E-4
3.750000E-9	-3.443030E-4
3.800000E-9	-3.323123E-4
3.850000E-9	-3.049051E-4
3.900000E-9	-2.466648E-4
3.950000E-9	-1.987022E-4
4.000000E-9	-1.798598E-4
4.050000E-9	-1.370360E-4
4.100000E-9	-2.569425E-5
4.150000E-9	3.939785E-5
4.200000E-9	1.096288E-4
4.250000E-9	1.524526E-4
4.300000E-9	1.301842E-4
4.350000E-9	4.282375E-5
4.400000E-9	-5.652735E-5
4.450000E-9	-1.884245E-4
4.500000E-9	-3.203217E-4
4.550000E-9	-3.837008E-4
4.600000E-9	-4.967555E-4
4.650000E-9	-5.806901E-4
4.700000E-9	-6.457822E-4
4.750000E-9	-6.868930E-4
4.800000E-9	-6.817541E-4
4.850000E-9	-6.149491E-4
4.900000E-9	-5.549958E-4
4.950000E-9	-5.190239E-4
5.000000E-9	-5.018944E-4
5.050000E-9	-5.104591E-4
5.100000E-9	-5.481440E-4
5.150000E-9	-6.200879E-4
5.200000E-9	-6.851800E-4
5.250000E-9	-7.536980E-4
5.300000E-9	-8.256419E-4
5.350000E-9	-9.061506E-4
5.400000E-9	-9.798074E-4
5.450000E-9	-1.044900E-3
5.500000E-9	-1.050038E-3
5.550000E-9	-1.065455E-3
5.600000E-9	-1.051751E-3
5.650000E-9	-9.952240E-4
5.700000E-9	-9.386966E-4
5.750000E-9	-8.205031E-4
5.800000E-9	-7.262908E-4
5.850000E-9	-5.686994E-4
5.900000E-9	-4.350893E-4
5.950000E-9	-3.408771E-4
6.000000E-9	-2.209706E-4
6.050000E-9	-1.370360E-4
6.100000E-9	-8.050865E-5
6.150000E-9	-1.712950E-5
6.200000E-9	2.055540E-5
6.250000E-9	4.453670E-5
6.300000E-9	6.680505E-5
6.350000E-9	5.310145E-5
6.400000E-9	-1.370360E-5
6.450000E-9	-8.222160E-5
6.500000E-9	-1.918504E-4
6.550000E-9	-2.912015E-4
6.600000E-9	-4.025433E-4
6.650000E-9	-4.933296E-4
6.700000E-9	-5.464311E-4
6.750000E-9	-5.721253E-4
6.800000E-9	-5.806901E-4
6.850000E-9	-5.173109E-4
6.900000E-9	-4.539318E-4
6.950000E-9	-3.939785E-4
7.000000E-9	-3.665713E-4
7.050000E-9	-3.254605E-4
7.100000E-9	-2.774979E-4
7.150000E-9	-2.449519E-4
7.200000E-9	-2.192576E-4
7.250000E-9	-1.456008E-4
7.300000E-9	-4.453670E-5
7.350000E-9	1.370360E-4
7.400000E-9	3.939785E-4
7.450000E-9	8.342067E-4
7.500000E-9	1.454295E-3
7.550000E-9	2.355306E-3
7.600000E-9	3.585204E-3
7.650000E-9	5.263896E-3
7.700000E-9	7.446194E-3
7.750000E-9	1.023145E-2
7.800000E-9	1.363337E-2
7.850000E-9	1.763139E-2
7.900000E-9	2.228548E-2
7.950000E-9	2.738322E-2
8.000000E-9	3.276873E-2
8.050000E-9	3.829300E-2
8.100000E-9	4.374018E-2
8.150000E-9	4.890130E-2
8.200000E-9	5.355538E-2
8.250000E-9	5.754313E-2
8.300000E-9	6.086112E-2
8.350000E-9	6.341855E-2
8.400000E-9	6.535076E-2
8.450000E-9	6.677422E-2
8.500000E-9	6.775574E-2
8.550000E-9	6.837754E-2
8.600000E-9	6.871157E-2
8.650000E-9	6.893082E-2
8.700000E-9	6.916721E-2
8.750000E-9	6.945499E-2
8.800000E-9	6.985410E-2
8.850000E-9	7.033716E-2
8.900000E-9	7.089900E-2
8.950000E-9	7.145229E-2
9.000000E-9	7.197302E-2
