31.4	0.509901951	8.57	0.053009433
50.9	0.412310563	8.486	0.040012498
100.6	0.608276253	8.192	0.027018512
150.3	0.509901951	7.888	0.019026298
200.4	0.509901951	7.59	0.013038405
250.1	0.316227766	7.283	0.014035669
300.4	0.608276253	6.978	0.020024984
350.5	0.608276253	6.662	0.013038405
401.4	0.1	6.342	0.001
450.5	0.608276253	6.001	0.020024984
500.6	0.608276253	5.641	0.008062258
550.6	0.608276253	5.253	0.006082763
600.7	0.509901951	4.8	0.014035669
650.6	0.509901951	4.283	0.020024984
700.5	0.412310563	3.626	0.018027756
750.8	0.608276253	4.385	0.028017851

